"Data_Zone","Intermediate_Zone","Council_area","Total_population","Working_age_population","Income_rate","Income_count","Employment_rate","Employment_count","CIF","ALCOHOL","DRUG","SMR","DEPRESS","LBWT","EMERG","Attendance","Attainment","no_qualifications","not_participating","University","drive_petrol","drive_GP","drive_post","drive_primary","drive_retail","drive_secondary","PT_GP","PT_post","PT_retail","Broadband","crime_count","crime_rate","overcrowded_count","nocentralheat_count","overcrowded_rate","nocentralheat_rate"
"S01009959","Muirend and Old Cathcart","Glasgow City",644,393,0.03,22,0.02,10,55,38.38676333,0,71.30281129,0.148091603,0.1,74.00259961,0.91262,6.0555555556,44.42151596,0.014492754,0.236364,3.055608828,2.110456621,3.472431507,2.503018868,2.727488584,3.99140625,8.975388128,11.58861872,8.659497717,0,4.0189489919577,62.4060402477903,27,5,0.04109589,0.00761035
"S01010033","Laurieston and Tradeston","Glasgow City",1073,748,0.27,285,0.22,164,190,201.0868493,223.8637417,103.655901,0.23796034,0.104477612,125.1796354,0.67416,5.6666666667,167.4353279,0.12745098,0.038961,1.489758938,1.314813109,2.237621885,2.264450262,2.944127844,2.418591549,4.418748646,6.467903575,8.195533586,0.009404389,123.582681502699,1151.74912863653,330,45,0.364640884,0.049723757
"S01010347","Summerston North","Glasgow City",909,585,0.28,257,0.2,119,210,335.6461353,127.301102,106.5207003,0.262038074,0.177777778,151.0706489,0.68675,5.3333333333,184.3871366,0.050724638,0.017857,2.964715556,4.527075556,3.843655556,4.412845528,5.408057778,4.631603774,13.24807778,10.00293333,12.40979778,0.002202643,29.1373801916933,320.543236432269,188,42,0.204570185,0.04570185
"S01010452","Knightswood East","Glasgow City",777,459,0.16,128,0.14,65,165,69.0855525,107.6747188,99.91664512,0.238903394,0,94.55424491,0.81921,5.4583333333,153.0186345,0.013513514,0.035294,4.570605781,1.265821033,1.966429889,2.064166667,2.727718327,5.681306306,4.568530135,4.925854859,10.28785978,0,18.0852704638096,232.757663626894,148,8,0.18204182,0.009840098
"S01010346","Summerston North","Glasgow City",922,608,0.09,81,0.07,41,85,92.34439457,34.16151725,96.99366683,0.187898089,0.055555556,113.7058427,0.84018,5.6486486486,102.0161856,0.025316456,0.153846,3.680764621,4.861560403,1.549551774,2.223798701,3.432111697,2.5885,12.77946069,5.268571429,9.421658677,0,19.0900077117991,207.049975182202,85,26,0.086646279,0.026503568
"S01010259","City Centre East","Glasgow City",1401,1182,0.18,247,0.13,150,135,239.7410502,204.4606166,153.1426859,0.138827023,0.115384615,134.1474358,0.77444,5.4615384615,205.9345381,0,0.05553,4.426014578,3.797905831,3.674690701,2.506544715,4.691954295,4.773037975,9.006908983,7.996288416,11.80972419,0.006329114,33.156329183651,236.661878541406,204,102,0.266318538,0.133159269
"S01009899","Battlefield","Glasgow City",821,642,0.12,97,0.11,70,120,209.1699472,83.18726527,111.4300219,0.179706602,0.032258065,84.82974724,0.82051,5.6666666667,65.96934326,0.102040816,0.093023,4.191237113,2.15316366,2.057045747,1.794900662,3.989007732,3.393571429,6.077506443,6.501159794,10.44956186,0,19.0900077117991,232.521409400719,187,52,0.240979381,0.067010309
"S01010451","Knightswood East","Glasgow City",851,565,0.32,276,0.29,161,190,175.5990305,335.4899938,140.6680889,0.297076023,0.15,129.3179527,0.79762,6.3333333333,151.2366089,0.14084507,0.12963,4.277459491,2.32333044,2.305914352,2.419044118,2.72228588,4.538425926,6.88645544,5.372112269,8.677335069,0,55.2605486394183,649.360148524304,158,6,0.190591074,0.007237636
"S01009833","Drumoyne and Shieldhall","Glasgow City",525,336,0.13,69,0.12,40,155,165.58405,141.2836779,759.6412276,0.214421252,0.071428571,98.58070406,0.7449,4.9285714286,128.8600676,0.024390244,0.066667,3.122896396,3.361400901,4.400657658,3.78175,4.76645045,4.426854305,9.941509009,11.50112613,12.31941892,0.065281899,216.018508317726,4114.63825367097,70,18,0.133333333,0.034285714
"S01010062","Braidfauld","Glasgow City",822,523,0.31,258,0.17,89,190,217.0620828,298.0671009,142.1449617,0.260391198,0.018181818,166.3153654,0.724,5.6071428571,183.4113844,0.106557377,0.04902,2.70525,1.925793333,1.9363,2.13140411,2.891436667,4.277023121,7.544653333,7.127286667,9.58654,0,46.2179134075135,562.261720286052,233,30,0.310666667,0.04
